ID,Timepoint,Date,Plot,Treatment,Depth,MidDepth,ExOC,MBC,GWC,VWC,ExTN,MBN
,4.5,20180404,3,C,10-20,15,0.026069853,0.103891886,0.258777633,,0.002164276,0.041663156
,4.5,20180404,3,C,30-40,35,0.019841754,0.146218309,0.214705882,,0.001133916,0.010634084
,4.5,20180404,3,C,50-60,55,0.016131226,0.021723824,0.204585538,,0.000759076,0.006067186
,4.5,20180404,3,C,80-90,85,0.01889227,0.003300082,0.194444444,,0.000812179,0.001561683
,4.5,20180404,3,H,0-10,5,0.020854143,0.3646463,0.215384615,,0.00296166,0.051942299
,4.5,20180404,3,H,10-20,15,0.033412272,0.195290007,0.223880597,,0.003777011,0.029182695
,4.5,20180404,3,H,30-40,35,0.031438469,0.063758613,0.177545692,,0.002070733,0.013133493
,4.5,20180404,3,H,50-60,55,0.04321603,0.035875324,0.204391892,,0.00164744,0.00697903
,4.5,20180404,3,H,80-90,85,0.029435007,0.023198182,0.221288515,,0.001107025,0.001354847
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
